index,sum,count,cellsize
247,53260060.000000,133835,30.000000
248,49518830.000000,131629,30.000000
249,53974536.000000,127557,30.000000
250,63831658.000000,124159,30.000000
251,68201011.000000,121716,30.000000
252,71946074.000000,121291,30.000000
253,72556716.000000,128640,30.000000
254,72162622.000000,134304,30.000000
255,67120864.000000,140276,30.000000
256,61906556.000000,145940,30.000000
257,57563371.000000,149016,30.000000
258,54757771.000000,146928,30.000000
259,53586035.000000,139580,30.000000
260,53896325.000000,153039,30.000000
261,55090584.000000,167465,30.000000
262,56458826.000000,173221,30.000000
263,52893975.000000,168915,30.000000
264,62120918.000000,159324,30.000000
265,75304391.000000,149704,30.000000
266,75003027.000000,140268,30.000000
267,72954963.000000,141023,30.000000
268,69229317.000000,139385,30.000000
269,62005681.000000,137039,30.000000
270,55459224.000000,133429,30.000000
271,50857616.000000,127757,30.000000
272,49490805.000000,122906,30.000000
273,49244322.000000,128806,30.000000
274,49091045.000000,134348,30.000000
275,49420723.000000,138490,30.000000
276,49513162.000000,140475,30.000000
277,48958752.000000,139691,30.000000
278,48290419.000000,135976,30.000000
279,46146836.000000,129308,30.000000
280,58408298.000000,122758,30.000000
281,65077854.000000,119785,30.000000
282,66889245.000000,119508,30.000000
283,65750423.000000,126918,30.000000
284,63598552.000000,129631,30.000000
285,57777067.000000,130324,30.000000
286,52413717.000000,128730,30.000000
287,48687610.000000,129321,30.000000
288,48632749.000000,155218,30.000000
289,49955500.000000,174942,30.000000
290,51736858.000000,184911,30.000000
291,53579299.000000,187977,30.000000
292,54100216.000000,182361,30.000000
293,52523609.000000,168949,30.000000
294,65526499.000000,151059,30.000000
295,67855069.000000,135900,30.000000
296,67022038.000000,133303,30.000000
297,64831562.000000,128250,30.000000
298,57999881.000000,124211,30.000000
299,51962054.000000,119295,30.000000
300,47511896.000000,118424,30.000000
301,45674090.000000,127343,30.000000
302,45475027.000000,137633,30.000000
303,46341988.000000,147332,30.000000
304,46926709.000000,154381,30.000000
305,47743448.000000,159294,30.000000
306,47279176.000000,158865,30.000000
307,47058570.000000,155507,30.000000
308,45759120.000000,147665,30.000000
309,45527494.000000,134795,30.000000
310,63182115.000000,128011,30.000000
311,62417334.000000,125361,30.000000
312,64332099.000000,128881,30.000000
313,61031603.000000,128524,30.000000
314,58090630.000000,125863,30.000000
315,52129988.000000,123752,30.000000
316,47494644.000000,155340,30.000000
317,46725967.000000,180701,30.000000
318,47776931.000000,194188,30.000000
319,49747456.000000,201228,30.000000
320,51538046.000000,201166,30.000000
321,53320335.000000,194870,30.000000
322,53399338.000000,184131,30.000000
323,51161779.000000,162866,30.000000
324,60161768.000000,146483,30.000000
325,65040865.000000,132487,30.000000
326,63964062.000000,130200,30.000000
327,59778279.000000,122399,30.000000
328,53674503.000000,117381,30.000000
329,48851558.000000,128336,30.000000
330,45979557.000000,145064,30.000000
331,45549807.000000,161358,30.000000
332,46222463.000000,170594,30.000000
333,47054701.000000,176068,30.000000
334,48001889.000000,179345,30.000000
335,48453843.000000,180133,30.000000
336,49072152.000000,178576,30.000000
337,49256705.000000,175831,30.000000
338,48863356.000000,171235,30.000000
339,49037297.000000,152768,30.000000
340,62719101.000000,144811,30.000000
341,68103531.000000,137034,30.000000
342,66377802.000000,134305,30.000000
343,62797922.000000,128390,30.000000
344,56396039.000000,150233,30.000000
345,51613781.000000,178921,30.000000
346,49060194.000000,197422,30.000000
347,49826853.000000,211140,30.000000
348,51992012.000000,216954,30.000000
349,53515574.000000,213030,30.000000
350,53974271.000000,203630,30.000000
351,53686960.000000,192163,30.000000
352,53269080.000000,179201,30.000000
353,54453413.000000,159698,30.000000
354,70513592.000000,147941,30.000000
355,69255774.000000,134982,30.000000
356,64548581.000000,127187,30.000000
357,61260336.000000,125733,30.000000
358,55636441.000000,146739,30.000000
359,51673440.000000,164915,30.000000
360,49438565.000000,174773,30.000000
361,49290557.000000,182068,30.000000
362,50031349.000000,186982,30.000000
363,51234730.000000,190666,30.000000
364,51650606.000000,191448,30.000000
365,56710398.000000,177075,30.000000
